id,value
id_0,6.2471222583680035
id_1,17.648442462807676
id_2,23.414861030011917
id_3,7.800726796586218
id_4,26.562516362580208
id_5,21.923244790579794
id_6,24.250344881066358
id_7,30.36556100551384
id_8,16.685887339107914
id_9,58.8934869224139
id_10,11.797001507779106
id_11,9.253587290967173
id_12,62.93238169297999
id_13,52.686757877290816
id_14,22.0502283113354
id_15,12.122052758736855
id_16,32.517962262362964
id_17,66.72162880284739
id_18,-0.3384958269486341
id_19,17.022778628316015
id_20,41.75652070239748
id_21,71.77046345985198
id_22,8.772037346386416
id_23,18.22138599406834
id_24,14.285198540009725
id_25,37.691100497592984
id_26,14.320586472270618
id_27,71.72610049172931
id_28,7.348619963165631
id_29,55.53271072118855
id_30,24.096448462525306
id_31,8.467274454063062
id_32,2.708716520253297
id_33,18.087926603414328
id_34,27.911464994363893
id_35,37.410308256803575
id_36,43.10127391804688
id_37,30.582057500967995
id_38,42.36565121548292
id_39,35.296467247109604
id_40,7.481264698588192
id_41,41.072813871824394
id_42,30.827980051253206
id_43,50.587903945434284
id_44,17.186887016388887
id_45,35.66300578241494
id_46,24.34413495672129
id_47,9.833990804616192
id_48,26.00173815871924
id_49,32.49804022246804
id_50,20.130583511442516
id_51,8.084432785533057
id_52,21.281311484485553
id_53,52.59040304389457
id_54,15.787212524994853
id_55,35.82636946419212
id_56,32.484539093762955
id_57,21.082497957112157
id_58,57.39430810317547
id_59,22.885542202726512
id_60,14.503967433486181
id_61,42.229384290990296
id_62,12.8165268194571
id_63,49.50103046931468
id_64,13.776191635915653
id_65,15.724325897548596
id_66,14.699546818364265
id_67,-0.9991045087860632
id_68,43.092269612894015
id_69,29.267909056845827
id_70,20.392512621054784
id_71,41.632645601308326
id_72,60.76483320357858
id_73,5.0514662377237824
id_74,16.882935050428056
id_75,3.901361697587803
id_76,39.79798977189098
id_77,13.630896742122431
id_78,22.127346627677767
id_79,20.942511350990586
id_80,23.778906553957576
id_81,36.32012921826289
id_82,22.204441023312445
id_83,92.6588126416608
id_84,36.63748743763945
id_85,27.869715743380002
id_86,21.523071652325754
id_87,33.017813475836974
id_88,23.211738511106084
id_89,20.42629045079702
id_90,29.368337819259786
id_91,41.12238596955432
id_92,4.8207939770228085
id_93,38.85830515965796
id_94,46.25255290978768
id_95,16.435968800409142
id_96,31.809564652269394
id_97,12.682008558056188
id_98,23.567636095410858
id_99,4.588208201223133
id_100,18.79345122226857
id_101,26.77643979987875
id_102,14.324473265065311
id_103,15.928352873167805
id_104,23.607891323995013
id_105,39.5814937487014
id_106,31.1304332326359
id_107,7.017778466221216
id_108,5.894561908572637
id_109,78.5642352321324
id_110,47.77899082801606
id_111,16.708123958889804
id_112,27.750092217745856
id_113,14.776146569195733
id_114,13.666241951455511
id_115,25.102049130268234
id_116,26.451367424033823
id_117,10.757318324529399
id_118,18.214698084118712
id_119,19.232751247459177
id_120,80.76398814690292
id_121,25.241191095968418
id_122,36.59622955206888
id_123,24.82521000559184
id_124,7.388441883728593
id_125,38.78341917139242
id_126,9.017882234840203
id_127,22.316546721640318
id_128,29.47375272001798
id_129,62.579863082120646
id_130,22.103488553191806
id_131,23.227810645979552
id_132,58.64192538428806
id_133,15.015068312053849
id_134,13.845608640303698
id_135,2.5621672475348607
id_136,12.586327304181793
id_137,58.22195695357614
id_138,20.138625339314885
id_139,5.236847182803491
id_140,28.760717296178072
id_141,25.29391695705432
id_142,44.79923184584703
id_143,30.0822775150173
id_144,18.035376839611978
id_145,25.74156189329316
id_146,11.599345989386238
id_147,51.63277342498896
id_148,23.57987226067906
id_149,38.725731983004486
id_150,10.307513982503771
id_151,7.889974611096273
id_152,24.20422947758655
id_153,6.77376050649976
id_154,15.30062665337453
id_155,41.04118702501947
id_156,8.383681389128506
id_157,36.45248772371205
id_158,11.05242420579484
id_159,18.405909169204346
id_160,41.027532478274644
id_161,18.995848232095934
id_162,13.519213124476991
id_163,7.594859100557614
id_164,52.473042605649894
id_165,31.00024793337724
id_166,-0.5590630533447056
id_167,16.379756803392574
id_168,63.47048357314349
id_169,14.079607685091434
id_170,63.62987531764901
id_171,38.882226555686024
id_172,26.762601154394044
id_173,20.132208695248245
id_174,61.4037764084864
id_175,25.020313392340725
id_176,20.84884115490991
id_177,38.102660956512494
id_178,11.963844069963729
id_179,30.723539204176575
id_180,17.182421607361427
id_181,11.567406750732365
id_182,55.45278301275852
id_183,46.42645498504299
id_184,15.858233935218156
id_185,34.99745346343017
id_186,26.50615663455097
id_187,70.13432338523961
id_188,10.187981938186741
id_189,58.02477001488276
id_190,38.310906950667324
id_191,15.29637883643517
id_192,28.62825652491043
id_193,0.21780743357054028
id_194,18.578789582385305
id_195,1.0196040064180074
id_196,33.63278279363704
id_197,10.885564944647355
id_198,18.96994269091377
id_199,60.678668682714076
id_200,24.68890478959407
id_201,25.28263196702675
id_202,64.71624366826597
id_203,11.253595070493933
id_204,9.36755048473796
id_205,11.617491788055567
id_206,7.419622283886783
id_207,1.7185870279127013
id_208,124.18899478085844
id_209,20.514069718984338
id_210,15.986951639445422
id_211,14.008165055851194
id_212,36.57065986930115
id_213,35.964772289514414
id_214,18.895914606512783
id_215,34.58666286424194
id_216,78.43852572928516
id_217,0.5340178766426359
id_218,12.683584808566488
id_219,32.33494267972224
id_220,15.097552417945167
id_221,12.609136913311913
id_222,113.49789635438145
id_223,12.45682903053921
id_224,16.620964826005896
id_225,63.96455005474962
id_226,16.272283511993745
id_227,19.054587725154924
id_228,10.26150799312428
id_229,8.705171103895758
id_230,46.009445422979475
id_231,13.113847139828701
id_232,53.97992502649995
id_233,42.38660629893362
id_234,25.344779721698828
id_235,41.31397279996952
id_236,68.73831570525594
id_237,42.908098436491315
id_238,11.354424196610946
id_239,17.83895898027607
